ihonderdeelid,locatie,bpscoderingid,objecttype,hoeveelheid,eenheid,materiaal,beheerobjectid
108221,-,31658,Inspectiewagen,NULL,NULL,-,4979
108215,-,31658,Aarding- en bliksembeveiligingsinstallatie,NULL,NULL,-,4979
108225,-,31658,Objectverlichting,NULL,NULL,-,4979
108228,-,31658,Scheepverkeersbeseining,NULL,NULL,-,4979
108227,-,31658,Rijvloer,NULL,NULL,beton,4979
108224,-,31658,Kabeldraagconstructie,NULL,NULL,-,4979
108226,Stalen Pylonen,31658,Pyloon,NULL,m2,beton,4979
108222,tbv tuiconstructies,31658,Klimaatinstallatie,NULL,NULL,-,4979
108216,-,31658,Antivandalismevoorziening,NULL,NULL,-,4979
23092,natuurlijk,NULL,Talud,NULL,NULL,-,4978
23094,NULL,NULL,Steunpunt,NULL,stuk,beton,4978
23095,NULL,NULL,Voegovergang,NULL,m,staal,4978
23097,NULL,NULL,Leuning,NULL,m,staal,4978
23098,NULL,NULL,Hemelwaterafvoer (HWA),NULL,stuk,staal,4978
23101,natuurlijk,NULL,Talud,NULL,NULL,-,4979
23103,NULL,NULL,Steunpunt,NULL,stuk,beton,4979
23104,NULL,NULL,Voegovergang,NULL,m,staal,4979
23105,niet standaard,NULL,Geleideconstructie,NULL,m,staal,4979
23106,NULL,NULL,Leuning,NULL,m,staal,4979
23107,NULL,NULL,Hemelwaterafvoer (HWA),NULL,stuk,staal,4979
108223,-,31658,Laagspanningsinstallatie,NULL,NULL,-,4979
108183,tbv de tuiconstructies,31658,Klimaatinstallatie,NULL,NULL,-,4978
100762,-,31658,Antivandalismevoorziening,NULL,NULL,-,4978
100807,Stalen Pylonen,31658,Pyloon,NULL,m2,beton,4978
100808,Renovatie (2014),31658,Hoofddraagconstructie,NULL,m2,staal,4978
100751,-,31658,"Verharding wegtype 1, Hoofdwegennet",NULL,m2,kunststof,4978
100745,-,31658,Rijvloer,NULL,NULL,beton,4978
108214,-,31658,Scheepverkeersbeseining,NULL,NULL,-,4978
107448,-,31658,Objectverlichting,NULL,NULL,-,4978
107446,-,31658,Aarding- en bliksembeveiligingsinstallatie,NULL,NULL,-,4978
102353,-,31658,Inspectiewagen,NULL,NULL,-,4978
107447,-,31658,Kabeldraagconstructie,NULL,NULL,-,4978
107461,-,31658,Laagspanningsinstallatie,NULL,NULL,-,4978
23108,Dir. bruggen civiel (1971),NULL,Hoofddraagconstructie,NULL,m2,staal,4979
23109,,NULL,"Verharding wegtype 1, Hoofdwegennet",NULL,m2,kunststof,4979
23093,-,NULL,Oplegging,NULL,stuk,staal/teflon/rubber,4978
23096,(middel)stijf,NULL,Geleideconstructie,NULL,m,staal,4978
23099,Dir.bruggen civiel (1971),NULL,Hoofddraagconstructie,NULL,m2,staal,4978
108055,Renovatie 2014,31658,Hoofddraagconstructie,NULL,m2,staal,4979
50974,-,NULL,Oplegging,NULL,stuk,staal/teflon/rubber,4979
