isonderdeelid,locatie,objecttype,materiaal,ihonderdeelid,beheerobjectid
217730,OVSP 01-03,"Rijvloer, Algemeen",beton,100745,4978
252521,OVSP 01-03,"Rijvloer, Algemeen",beton,108227,4979
217942,OVSP 01-03,"Rijvloer, Algemeen",staal,23099,4978
251925,OVSP 01-03,"Rijvloer, Algemeen",staal,23108,4979
217734,OVSP 01-03,"Slijtlaag, Algemeen",kunststof,100751,4978
252505,OVSP 01-03,"Slijtlaag, Algemeen",kunststof,23109,4979
50596,OVSP 01-03,hoofdligger,staal,23099,4978
50630,OVSP 01-03,hoofdligger,staal,23108,4979
217944,OVSP 01-03,hoofdligger,staal,100808,4978
252489,OVSP 01-03,hoofdligger,staal,108055,4979
50597,OVSP 01-03,kantligger,staal,23099,4978
50631,OVSP 01-03,kantligger,staal,23108,4979
217933,"STP 01+04, OVSP 02",ligger,staal,100807,4978
252516,"STP 01-04, OVSP 02",ligger,staal,108226,4979
50594,OVSP 01-03,verstijving,staal,23099,4978
50628,OVSP 01-03,verstijving,staal,23108,4979
217938,STP 02+03,verstijving,staal,100807,4978
252520,STP 02+03,verstijving,staal,108226,4979
250489,geheel object,"Aarding- en bliksembeveiligingsinstallatie, Algemeen",-,107446,4978
252486,Geheel object,"Aarding- en bliksembeveiligingsinstallatie, Algemeen",-,108215,4979
217758,STP 01-04,"Antivandalismevoorziening, Algemeen",-,100762,4978
252487,STP 01-04,"Antivandalismevoorziening, Algemeen",-,108216,4979
252412,OVSP 01-03,Bordes,staal,100808,4978
252493,OVSP 01-03,Bordes,staal,108055,4979
217759,STP 01-04,Deur,-,100762,4978
252488,STP 01-04,Deur,-,108216,4979
217757,STP 01+04,Deur,staal,23094,4978
217941,STP 02+03,Deur,staal,100807,4978
252503,STP 01+04,Deur,staal,23103,4979
252513,STP 02+03,Deur,staal,108226,4979
50585,OVSP 01-03,Dwarsdrager,staal,23099,4978
50619,OVSP 01-03,Dwarsdrager,staal,23108,4979
217946,OVSP 01-03,Dwarsdrager,staal,100808,4978
251926,OVSP 01-03,Dwarsdrager,staal,108055,4979
217937,STP 02+03,Frame,staal,100807,4978
217943,OVSP 01-03,Frame,staal,100808,4978
252490,OVSP 01-03,Frame,staal,108055,4979
252514,STP 02+03,Frame,staal,108226,4979
50578,STP 02+03,Fundatie,beton,23094,4978
50612,STP 02+03,Fundatie,beton,23103,4979
50582,MB,Geleiderail,staal,23096,4978
50583,ZB 01+02,Geleiderail,staal,23096,4978
50616,MB,Geleiderail,staal,23105,4979
50617,ZB 01+02,Geleiderail,staal,23105,4979
104032,-,"Hemelwaterafvoer (HWA), Algemeen",staal,23107,4979
104667,-,"Hemelwaterafvoer (HWA), Algemeen",staal,23098,4978
221307,-,"Inspectiewagen, Algemeen",staal,102353,4978
252507,-,"Inspectiewagen, Algemeen",staal,108221,4979
250490,geheel object,"Kabeldraagconstructie, Algemeen",-,107447,4978
252510,geheel object,"Kabeldraagconstructie, Algemeen",-,108224,4979
250523,geheel object,"Laagspanningsinstallatie, Algemeen",-,107461,4978
252509,geheel object,"Laagspanningsinstallatie, Algemeen",-,108223,4979
217940,STP 02+03,Ladder,staal,100807,4978
252515,STP 02+03,Ladder,staal,108226,4979
217755,STP 01+04,Landhoofd,beton,23094,4978
252501,STP 01+04,Landhoofd,beton,23103,4979
50598,OVSP 01-03,Langsligger,staal,23099,4978
50632,OVSP 01-03,Langsligger,staal,23108,4979
50584,"STP 01+04, ZB 01","Leuning, Algemeen",staal,23097,4978
50618,"STP 01+04, ZB 01","Leuning, Algemeen",staal,23106,4979
252411,OVSP 01-03,"Leuning, Algemeen",staal,100808,4978
252491,OVSP 01-03,"Leuning, Algemeen",staal,108055,4979
217756,STP 01+04,Luik,staal,23094,4978
252504,STP 01+04,Luik,staal,23103,4979
250491,geheel object,"Objectverlichting, Algemeen",-,107448,4978
252511,geheel object,"Objectverlichting, Algemeen",-,108225,4979
50573,STP 01-04,"Oplegging, Algemeen",staal/teflon/rubber,23093,4978
252498,STP 01-04,"Oplegging, Algemeen",staal/teflon/rubber,50974,4979
252485,OVSP 02,"Scheepverkeersbeseining, Algemeen",staal,108214,4978
252522,OVSP 02-03,"Scheepverkeersbeseining, Algemeen",staal,108228,4979
50574,STP 01+04,Trap,staal,23094,4978
50607,STP 01+04,Trap,staal,23103,4979
217934,OVSP 01-03,Tuiconstructie,staal,100807,4978
252518,OVSP 01-03,Tuiconstructie,staal,108226,4979
217760,STP 01+04,"Verankering, Algemeen",staal,23093,4978
217935,STP 02+03,"Verankering, Algemeen",staal,100807,4978
217945,STP 01+04,"Verankering, Algemeen",staal,100808,4978
252492,STP 01+04,"Verankering, Algemeen",staal,108055,4979
252500,STP 01+04,"Verankering, Algemeen",staal,50974,4979
252519,STP 02+03,"Verankering, Algemeen",staal,108226,4979
50576,STP 01+04,Vloer,beton,23094,4978
50609,STP 01+04,Vloer,beton,23103,4979
50581,STP 01+04,"Voegovergang, Algemeen",staal,23095,4978
50615,STP 01+04,"Voegovergang, Algemeen",staal,23104,4979
50577,STP 01+04,Wand,beton,23094,4978
50610,STP 01+04,Wand,beton,23103,4979
50579,STP 02+03,Kolom,beton,23094,4978
217753,STP 01+04,Kolom,beton,23093,4978
252499,STP 01+04,Kolom,beton,50974,4979
252502,STP 02+03,Kolom,beton,23103,4979
217939,STP 02+03,Plaatveld,staal,100807,4978
252517,STP 02+03,Plaatveld,staal,108226,4979
217754,STP 01-04,Oplegblok,beton,23093,4978
252496,STP 01-04,Oplegblok,beton,50974,4979
50569,STP 01+04,"Talud, Algemeen",-,23092,4978
50603,STP 01+04,"Talud, Algemeen",-,23101,4979
217936,"STP 01+04, OVSP 02",Beschermconstructie,staal,100807,4978
252512,"STP 01+04, OVSP 02",Beschermconstructie,staal,108226,4979
252410,STP02+03,"Klimaatinstallatie, algemeen",-,108183,4978
252508,STP 02+03,"Klimaatinstallatie, algemeen",-,108222,4979
