EqmId,Location,Description,ObjectType,Beheerobjectid,RDX,RDY,Context,Elementid
69323,NULL,Aanrijbalk,Aanrijbalk,11,NULL,NULL,65536,NULL
69343,NULL,Aarding- en bliksembeveiligingsinstallatie,Aarding- en bliksembeveiligingsinstallatie,11,NULL,NULL,65536,NULL
69363,NULL,Afmeervoorziening,Afmeervoorziening,11,NULL,NULL,65536,NULL
69387,NULL,Antivandalismevoorziening,Antivandalismevoorziening,11,NULL,NULL,65536,NULL
69404,NULL,Bebording/bewegwijzering (statisch),Bebording/bewegwijzering (statisch),11,NULL,NULL,65536,NULL
95455,NULL,Bebording/bewegwijzering (statisch),Bebording/bewegwijzering (statisch),5404,NULL,NULL,65536,NULL
95491,NULL,Bebording/bewegwijzering (statisch),Bebording/bewegwijzering (statisch),5405,NULL,NULL,65536,NULL
69428,NULL,Kabel,Kabel,11,NULL,NULL,65536,NULL
69449,NULL,Binnenverlichting,Binnenverlichting,11,NULL,NULL,65536,NULL
69470,NULL,Bodembescherming,Bodembescherming,11,NULL,NULL,65536,NULL
69490,NULL,Brandblussysteem,Brandblusinstallatie,11,NULL,NULL,65536,NULL
69546,NULL,Drainage,Drainage,11,NULL,NULL,65536,NULL
69567,NULL,Duurzame energiebron,Duurzame energiebron,11,NULL,NULL,65536,NULL
69588,NULL,Dynamische bewegwijzering en informatie systemen,Dynamische bewegwijzering en informatie systemen,11,NULL,NULL,65536,NULL
95461,NULL,Dynamische bewegwijzering en informatie systemen,Dynamische bewegwijzering en informatie systemen,5404,NULL,NULL,65536,NULL
69608,NULL,Fundering,Fundering,11,NULL,NULL,65536,NULL
69635,NULL,Geleideconstructie,Geleideconstructie,11,NULL,NULL,65536,NULL
89331,NULL,"Geleideconstructie, staal, niet standaard",Geleideconstructie,5405,NULL,NULL,65536,NULL
89322,NULL,"Geleideconstructie, staal, niet standaard",Geleideconstructie,5404,NULL,NULL,65536,NULL
69655,NULL,Geluidwerende constructie,Geluidbeperkende constructie,11,NULL,NULL,65536,NULL
69675,NULL,Hemelwaterafvoer (HWA),Hemelwaterafvoer (HWA),11,NULL,NULL,65536,NULL
89333,NULL,"Hemelwaterafvoer (HWA), staal, ",Hemelwaterafvoer (HWA),5405,NULL,NULL,65536,NULL
89324,NULL,"Hemelwaterafvoer (HWA), staal, ",Hemelwaterafvoer (HWA),5404,NULL,NULL,65536,NULL
69698,NULL,Hoog Frequent installatie (HF-installatie),Hoog Frequent installatie (HF-installatie),11,NULL,NULL,65536,NULL
69726,NULL,Hoofddraagconstructie,Hoofddraagconstructie,11,NULL,NULL,65536,NULL
69930,NULL,Leuning,Hoofddraagconstructie,11,NULL,NULL,65536,NULL
70330,NULL,Hoofddraagconstructie (Slijtlaag),Hoofddraagconstructie,11,NULL,NULL,65536,NULL
70254,NULL,Hoofddraagconstructie (Rijvloer),Hoofddraagconstructie,11,NULL,NULL,65536,NULL
89325,NULL,"Hoofddraagconstructie, staal, ",Hoofddraagconstructie,5404,NULL,NULL,65536,NULL
89334,NULL,"Hoofddraagconstructie, staal, ",Hoofddraagconstructie,5405,NULL,NULL,65536,NULL
89332,NULL,"Leuning, staal, ",Hoofddraagconstructie,5405,NULL,NULL,65536,NULL
89323,NULL,"Leuning, staal, ",Hoofddraagconstructie,5404,NULL,NULL,65536,NULL
69747,NULL,Hoofddraaipunt,Hoofddraaipunt,11,NULL,NULL,65536,NULL
69772,NULL,Hoogtedetectie-installatie,Hoogtedetectie-installatie,11,NULL,NULL,65536,NULL
69800,NULL,Intercominstallatie,Intercominstallatie,11,NULL,NULL,65536,NULL
69824,NULL,Informatie en Volgsysteem Scheepvaart 1990 (IVS90),Informatie en Volgsysteem Scheepvaart 1990 (IVS90),11,NULL,NULL,65536,NULL
69845,NULL,Kabeldraagconstructie,Kabeldraagconstructie,11,NULL,NULL,65536,NULL
471144,NULL,"Tuiconstructie, staal, M",Kabeldraagconstructie,5405,NULL,NULL,65536,NULL
69865,NULL,Kerende constructie,Kerende constructie,11,NULL,NULL,65536,NULL
69886,NULL,Laagspanningsinstallatie,Laagspanningsinstallatie,11,NULL,NULL,65536,NULL
69906,NULL,Leiding,Leiding,11,NULL,NULL,65536,NULL
69951,NULL,Lift-installatie,Lift-installatie,11,NULL,NULL,65536,NULL
69976,NULL,Mantelbuis,Mantelbuis,11,NULL,NULL,65536,NULL
70021,NULL,Wegkantsysteem (WKS),Wegkantsysteem (WKS),11,NULL,NULL,65536,NULL
95492,NULL,Wegkantsysteem (WKS),Wegkantsysteem (WKS),5405,NULL,NULL,65536,NULL
95454,NULL,Wegkantsysteem (WKS),Wegkantsysteem (WKS),5404,NULL,NULL,65536,NULL
